"","valorTotal","cnpj","xLgr","timestamp","infCpl","vToTrib","date","week_day"
"62","56.6","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:37:14.000Z","Mesa 91","6.2",2016-01-05,"Tuesday"
"63","53.29","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:42:33.000Z","Mesa 64","6.7",2016-01-05,"Tuesday"
"64","55.7","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:46:40.000Z","Mesa 95","2.34",2016-01-05,"Tuesday"
"65","89.69","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T13:56:23.000Z","Mesa 99","9.07",2016-01-05,"Tuesday"
"66","73.49","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T14:01:27.000Z","Mesa 96","5.0",2016-01-05,"Tuesday"
"67","17.12","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T14:05:05.000Z","Mesa 46","2.63",2016-01-05,"Tuesday"
"68","40.57","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T14:08:43.000Z","Mesa 42","1.7",2016-01-05,"Tuesday"
"69","36.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T14:08:56.000Z","Mesa 44","1.51",2016-01-05,"Tuesday"
"70","69.21","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T14:09:04.000Z","Mesa 25","2.9",2016-01-05,"Tuesday"
"71","105.63","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T18:59:11.000Z","Mesa 1","5.92",2016-01-05,"Tuesday"
"72","51.68","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T19:13:33.000Z","Mesa 2","4.08",2016-01-05,"Tuesday"
"73","37.14","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T19:25:55.000Z","Mesa 4","3.47",2016-01-05,"Tuesday"
"74","24.83","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T19:49:34.000Z","Mesa 14","1.04",2016-01-05,"Tuesday"
"75","137.28","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T19:53:29.000Z","Mesa 3","11.07",2016-01-05,"Tuesday"
"76","44.92","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T19:58:24.000Z","Mesa 15","6.87",2016-01-05,"Tuesday"
"77","116.68","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:06:31.000Z","Mesa 7","6.38",2016-01-05,"Tuesday"
"78","13.44","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:16:12.000Z","Mesa 22","0.56",2016-01-05,"Tuesday"
"79","24.42","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:22:57.000Z","Mesa 17","1.03",2016-01-05,"Tuesday"
"80","51.41","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:36:46.000Z","Mesa 16","4.07",2016-01-05,"Tuesday"
"81","56.07","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:38:57.000Z","Mesa 24","4.27",2016-01-05,"Tuesday"
"82","43.79","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:41:29.000Z","Mesa 28","1.84",2016-01-05,"Tuesday"
"83","50.18","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:45:51.000Z","Mesa 27","4.02",2016-01-05,"Tuesday"
"84","63.21","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T20:54:28.000Z","Mesa 18","4.57",2016-01-05,"Tuesday"
"85","13.17","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:03:07.000Z","Mesa 30","0.55",2016-01-05,"Tuesday"
"86","19.61","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:03:41.000Z","Mesa 33","0.82",2016-01-05,"Tuesday"
"87","30.97","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:04:25.000Z","Mesa 40","3.21",2016-01-05,"Tuesday"
"88","106.74","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:07:13.000Z","Mesa 11","13.25",2016-01-05,"Tuesday"
"89","40.38","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:08:49.000Z","Mesa 10","8.08",2016-01-05,"Tuesday"
"90","80.06","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:08:59.000Z","Mesa 9","16.11",2016-01-05,"Tuesday"
"91","22.36","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:11:09.000Z","Mesa 56","0.94",2016-01-05,"Tuesday"
"92","39.51","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:12:25.000Z","Mesa 57","1.66",2016-01-05,"Tuesday"
"93","99.63","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:20:09.000Z","Mesa 21","10.26",2016-01-05,"Tuesday"
"94","280.21","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:28:02.000Z","Mesa 25","39.87",2016-01-05,"Tuesday"
"95","62.25","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:29:32.000Z","Mesa 43","4.53",2016-01-05,"Tuesday"
"96","26.72","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:29:41.000Z","Mesa 42","3.03",2016-01-05,"Tuesday"
"97","59.51","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:35:03.000Z","Mesa 59","4.41",2016-01-05,"Tuesday"
"98","27.96","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:36:02.000Z","Mesa 58","3.09",2016-01-05,"Tuesday"
"99","34.4","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:36:11.000Z","Mesa 70","3.36",2016-01-05,"Tuesday"
"100","30.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:36:20.000Z","Mesa 69","1.26",2016-01-05,"Tuesday"
"101","71.44","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:40:59.000Z","Mesa 44","4.91",2016-01-05,"Tuesday"
"102","142.99","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:41:09.000Z","Mesa 29","19.96",2016-01-05,"Tuesday"
"103","112.35","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:51:04.000Z","Mesa 51","7.7",2016-01-05,"Tuesday"
"104","29.86","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:51:46.000Z","Mesa 23","3.34",2016-01-05,"Tuesday"
"105","61.49","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:52:48.000Z","Mesa 75","3.01",2016-01-05,"Tuesday"
"106","95.54","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T21:57:54.000Z","Mesa 60","7.84",2016-01-05,"Tuesday"
"107","69.35","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:03:13.000Z","Mesa 35","13.96",2016-01-05,"Tuesday"
"108","116.26","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:06:09.000Z","Mesa 68","8.71",2016-01-05,"Tuesday"
"109","43.09","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:07:21.000Z","Mesa 38","10.1",2016-01-05,"Tuesday"
"110","104.57","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:08:12.000Z","Mesa 64","5.88",2016-01-05,"Tuesday"
"111","115.23","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:08:28.000Z","Mesa 55","8.84",2016-01-05,"Tuesday"
"112","39.48","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:08:38.000Z","Mesa 37","3.57",2016-01-05,"Tuesday"
"113","51.41","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:08:52.000Z","Mesa 36","4.07",2016-01-05,"Tuesday"
"114","50.97","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:11:51.000Z","Mesa 67","5.96",2016-01-05,"Tuesday"
"115","35.67","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:12:45.000Z","Mesa 76","1.5",2016-01-05,"Tuesday"
"116","44.0","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:13:35.000Z","Mesa 77","3.76",2016-01-05,"Tuesday"
"117","187.07","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:14:48.000Z","Mesa 72","12.75",2016-01-05,"Tuesday"
"118","32.06","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:15:31.000Z","Mesa 66","3.26",2016-01-05,"Tuesday"
"119","212.91","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:17:38.000Z","Mesa 71","17.22",2016-01-05,"Tuesday"
"120","232.38","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:18:55.000Z","Mesa 61","18.69",2016-01-05,"Tuesday"
"121","65.64","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:21:46.000Z","Mesa 81","6.58",2016-01-05,"Tuesday"
"122","22.15","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:24:07.000Z","Mesa 84","2.41",2016-01-05,"Tuesday"
"123","104.2","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:26:13.000Z","Mesa 80","8.2",2016-01-05,"Tuesday"
"124","91.28","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:27:58.000Z","Mesa 46","16.59",2016-01-05,"Tuesday"
"125","32.62","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:40:12.000Z","Mesa 82","3.28",2016-01-05,"Tuesday"
"126","45.24","01.234.567/0001-89","650 Castro St. unit 210","2016-01-05T22:40:38.000Z","Mesa 83","3.81",2016-01-05,"Tuesday"
"127","80.42","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:09:30.000Z","Mesa 1","8.15",2016-01-06,"Wednesday"
"128","31.62","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:12:36.000Z","Mesa 3","3.24",2016-01-06,"Wednesday"
"129","29.84","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:12:42.000Z","Mesa 2","3.19",2016-01-06,"Wednesday"
"130","31.9","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:12:49.000Z","Mesa 4","3.24",2016-01-06,"Wednesday"
"131","13.98","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:14:02.000Z","Mesa 13","0.59",2016-01-06,"Wednesday"
"132","29.26","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:21:07.000Z","Mesa 23","2.58",2016-01-06,"Wednesday"
"133","22.54","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:30:06.000Z","Mesa 27","1.37",2016-01-06,"Wednesday"
"134","26.2","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:31:20.000Z","Mesa 22","1.1",2016-01-06,"Wednesday"
"135","20.3","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:31:41.000Z","Mesa 21","0.85",2016-01-06,"Wednesday"
"136","74.11","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:35:28.000Z","Mesa 11","7.07",2016-01-06,"Wednesday"
"137","38.19","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:36:33.000Z","Mesa 8","4.11",2016-01-06,"Wednesday"
"138","78.73","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:39:50.000Z","Mesa 16","7.56",2016-01-06,"Wednesday"
"139","38.74","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:40:00.000Z","Mesa 6","4.12",2016-01-06,"Wednesday"
"140","84.92","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:40:07.000Z","Mesa 18","7.13",2016-01-06,"Wednesday"
"141","34.09","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:40:15.000Z","Mesa 5","3.3",2016-01-06,"Wednesday"
"142","34.78","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:40:23.000Z","Mesa 10","3.32",2016-01-06,"Wednesday"
"143","26.14","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:40:30.000Z","Mesa 9","3.13",2016-01-06,"Wednesday"
"144","49.08","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:44:40.000Z","Mesa 53","2.06",2016-01-06,"Wednesday"
"145","20.03","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:45:21.000Z","Mesa 14","0.84",2016-01-06,"Wednesday"
"146","39.29","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:45:58.000Z","Mesa 7","4.12",2016-01-06,"Wednesday"
"147","40.95","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:57:46.000Z","Mesa 33","3.51",2016-01-06,"Wednesday"
"148","35.53","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:57:54.000Z","Mesa 17","1.49",2016-01-06,"Wednesday"
"149","30.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:58:13.000Z","Mesa 41","1.26",2016-01-06,"Wednesday"
"150","35.58","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:58:22.000Z","Mesa 28","1.5",2016-01-06,"Wednesday"
"151","35.17","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:58:33.000Z","Mesa 43","4.05",2016-01-06,"Wednesday"
"152","40.11","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:58:50.000Z","Mesa 42","4.15",2016-01-06,"Wednesday"
"153","60.42","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:59:04.000Z","Mesa 40","2.54",2016-01-06,"Wednesday"
"154","28.81","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:59:19.000Z","Mesa 36","1.21",2016-01-06,"Wednesday"
"155","47.87","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:59:28.000Z","Mesa 38","2.01",2016-01-06,"Wednesday"
"156","54.24","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:59:36.000Z","Mesa 30","2.28",2016-01-06,"Wednesday"
"157","52.87","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T12:59:51.000Z","Mesa 35","4.52",2016-01-06,"Wednesday"
"158","46.55","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:01:59.000Z","Mesa 63","4.33",2016-01-06,"Wednesday"
"159","72.22","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:03:40.000Z","Mesa 69","5.22",2016-01-06,"Wednesday"
"160","45.96","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:04:32.000Z","Mesa 61","1.93",2016-01-06,"Wednesday"
"161","52.32","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:05:37.000Z","Mesa 25","4.5",2016-01-06,"Wednesday"
"162","44.09","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:06:06.000Z","Mesa 26","4.26",2016-01-06,"Wednesday"
"163","50.81","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:06:46.000Z","Mesa 24","4.46",2016-01-06,"Wednesday"
"164","107.32","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:07:25.000Z","Mesa 64","6.59",2016-01-06,"Wednesday"
"165","67.22","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:12:11.000Z","Mesa 67","6.58",2016-01-06,"Wednesday"
"166","102.75","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:13:50.000Z","Mesa 60","10.6",2016-01-06,"Wednesday"
"167","44.5","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:14:40.000Z","Mesa 73","4.26",2016-01-06,"Wednesday"
"168","28.78","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:19:36.000Z","Mesa 44","3.12",2016-01-06,"Wednesday"
"169","56.99","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:20:52.000Z","Mesa 80","4.67",2016-01-06,"Wednesday"
"170","122.02","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:22:30.000Z","Mesa 77","9.04",2016-01-06,"Wednesday"
"171","54.24","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:23:15.000Z","Mesa 72","4.57",2016-01-06,"Wednesday"
"172","34.98","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:23:43.000Z","Mesa 51","1.47",2016-01-06,"Wednesday"
"173","18.24","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:23:51.000Z","Mesa 47","0.77",2016-01-06,"Wednesday"
"174","46.92","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:25:55.000Z","Mesa 84","1.97",2016-01-06,"Wednesday"
"175","37.76","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:26:06.000Z","Mesa 82","2.01",2016-01-06,"Wednesday"
"176","24.87","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:26:24.000Z","Mesa 81","1.47",2016-01-06,"Wednesday"
"177","21.67","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:26:32.000Z","Mesa 46","0.91",2016-01-06,"Wednesday"
"178","116.03","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:29:55.000Z","Mesa 75","8.81",2016-01-06,"Wednesday"
"179","35.04","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:31:40.000Z","Mesa 88","4.04",2016-01-06,"Wednesday"
"180","119.95","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:32:33.000Z","Mesa 70","6.91",2016-01-06,"Wednesday"
"181","99.12","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:35:50.000Z","Mesa 91","6.74",2016-01-06,"Wednesday"
"182","24.01","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:39:29.000Z","Mesa 87","1.01",2016-01-06,"Wednesday"
"183","43.13","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:40:32.000Z","Mesa 56","4.22",2016-01-06,"Wednesday"
"184","48.75","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:42:30.000Z","Mesa 59","4.39",2016-01-06,"Wednesday"
"185","35.72","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:42:41.000Z","Mesa 58","4.05",2016-01-06,"Wednesday"
"186","46.42","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:42:49.000Z","Mesa 57","4.32",2016-01-06,"Wednesday"
"187","108.24","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:49:18.000Z","Mesa 90","11.92",2016-01-06,"Wednesday"
"188","80.99","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:50:47.000Z","Mesa 95","3.41",2016-01-06,"Wednesday"
"189","71.72","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T13:58:33.000Z","Mesa 98","6.16",2016-01-06,"Wednesday"
"190","95.52","01.234.567/0001-89","650 Castro St. unit 210","2016-01-06T14:00:58.000Z","Mesa 99","8.61",2016-01-06,"Wednesday"
